customer id,recording date,total bandwidth used,rolling three-month average,aggregated two-year rolling three month average
d22ea804-cd59-4b15-84f1-2f723a9a99b5,10/17/21,2.949,3.090,
d22ea804-cd59-4b15-84f1-2f723a9a99b5,9/17/21,3.752,3.728,
d22ea804-cd59-4b15-84f1-2f723a9a99b5,8/17/21,2.568,2.900,
d22ea804-cd59-4b15-84f1-2f723a9a99b5,7/17/21,4.863,3.169,
d22ea804-cd59-4b15-84f1-2f723a9a99b5,6/17/21,1.269,2.280,
d22ea804-cd59-4b15-84f1-2f723a9a99b5,5/17/21,3.377,3.377,
d22ea804-cd59-4b15-84f1-2f723a9a99b5,4/17/21,2.195,3.342,
d22ea804-cd59-4b15-84f1-2f723a9a99b5,3/17/21,4.559,3.491,
d22ea804-cd59-4b15-84f1-2f723a9a99b5,2/17/21,3.273,3.539,
d22ea804-cd59-4b15-84f1-2f723a9a99b5,1/17/21,2.641,3.671,
d22ea804-cd59-4b15-84f1-2f723a9a99b5,12/17/20,4.701,3.537,
d22ea804-cd59-4b15-84f1-2f723a9a99b5,11/17/20,3.670,3.503,
d22ea804-cd59-4b15-84f1-2f723a9a99b5,10/17/20,2.241,3.477,
d22ea804-cd59-4b15-84f1-2f723a9a99b5,9/17/20,4.599,4.140,
d22ea804-cd59-4b15-84f1-2f723a9a99b5,8/17/20,3.591,3.524,
d22ea804-cd59-4b15-84f1-2f723a9a99b5,7/17/20,4.230,2.519,
d22ea804-cd59-4b15-84f1-2f723a9a99b5,6/17/20,2.753,2.030,
d22ea804-cd59-4b15-84f1-2f723a9a99b5,5/17/20,0.574,1.211,
d22ea804-cd59-4b15-84f1-2f723a9a99b5,4/17/20,2.763,1.878,
d22ea804-cd59-4b15-84f1-2f723a9a99b5,3/17/20,0.296,2.396,
d22ea804-cd59-4b15-84f1-2f723a9a99b5,2/17/20,2.575,2.502,
d22ea804-cd59-4b15-84f1-2f723a9a99b5,1/17/20,4.316,,
d22ea804-cd59-4b15-84f1-2f723a9a99b5,12/17/19,0.616,,
f540c1f5-1133-4cc1-9f97-ead09eca1b87,11/17/22,1.877,1.874,58.922
f540c1f5-1133-4cc1-9f97-ead09eca1b87,10/17/22,0.447,1.955,
f540c1f5-1133-4cc1-9f97-ead09eca1b87,9/17/22,3.297,1.836,
f540c1f5-1133-4cc1-9f97-ead09eca1b87,8/17/22,2.121,2.317,
f540c1f5-1133-4cc1-9f97-ead09eca1b87,7/17/22,0.089,1.750,
f540c1f5-1133-4cc1-9f97-ead09eca1b87,6/17/22,4.740,2.885,
f540c1f5-1133-4cc1-9f97-ead09eca1b87,5/17/22,0.421,2.497,
f540c1f5-1133-4cc1-9f97-ead09eca1b87,4/17/22,3.494,3.042,
f540c1f5-1133-4cc1-9f97-ead09eca1b87,3/17/22,3.576,2.067,
f540c1f5-1133-4cc1-9f97-ead09eca1b87,2/17/22,2.056,1.660,
f540c1f5-1133-4cc1-9f97-ead09eca1b87,1/17/22,0.568,2.568,
f540c1f5-1133-4cc1-9f97-ead09eca1b87,12/17/21,2.357,3.933,
f540c1f5-1133-4cc1-9f97-ead09eca1b87,11/17/21,4.778,4.289,
f540c1f5-1133-4cc1-9f97-ead09eca1b87,10/17/21,4.665,3.736,
f540c1f5-1133-4cc1-9f97-ead09eca1b87,9/17/21,3.426,2.346,
f540c1f5-1133-4cc1-9f97-ead09eca1b87,8/17/21,3.116,1.924,
f540c1f5-1133-4cc1-9f97-ead09eca1b87,7/17/21,0.495,1.825,
f540c1f5-1133-4cc1-9f97-ead09eca1b87,6/17/21,2.161,3.253,
f540c1f5-1133-4cc1-9f97-ead09eca1b87,5/17/21,2.818,3.190,
f540c1f5-1133-4cc1-9f97-ead09eca1b87,4/17/21,4.779,2.460,
f540c1f5-1133-4cc1-9f97-ead09eca1b87,3/17/21,1.974,2.207,
f540c1f5-1133-4cc1-9f97-ead09eca1b87,2/17/21,0.627,2.012,
f540c1f5-1133-4cc1-9f97-ead09eca1b87,1/17/21,4.018,2.195,
f540c1f5-1133-4cc1-9f97-ead09eca1b87,12/17/20,1.390,1.102,
f540c1f5-1133-4cc1-9f97-ead09eca1b87,11/17/20,1.177,2.209,
f540c1f5-1133-4cc1-9f97-ead09eca1b87,10/17/20,0.740,2.366,
f540c1f5-1133-4cc1-9f97-ead09eca1b87,9/17/20,4.711,2.486,
f540c1f5-1133-4cc1-9f97-ead09eca1b87,8/17/20,1.646,2.454,
f540c1f5-1133-4cc1-9f97-ead09eca1b87,7/17/20,1.100,2.404,
f540c1f5-1133-4cc1-9f97-ead09eca1b87,6/17/20,4.617,2.550,
f540c1f5-1133-4cc1-9f97-ead09eca1b87,5/17/20,1.494,1.733,
f540c1f5-1133-4cc1-9f97-ead09eca1b87,4/17/20,1.540,2.763,
f540c1f5-1133-4cc1-9f97-ead09eca1b87,3/17/20,2.166,2.952,
f540c1f5-1133-4cc1-9f97-ead09eca1b87,2/17/20,4.584,2.918,
f540c1f5-1133-4cc1-9f97-ead09eca1b87,1/17/20,2.105,,
f540c1f5-1133-4cc1-9f97-ead09eca1b87,12/17/19,2.064,,
